a	啊,阿,吖,锕,腌,呵,嗄
nao	脑,闹,恼,挠,瑙,孬,呶,淖,猱,铙,垴,蛲,硇,臑,峱,鬧,腦,脳,悩,婥,嫐,閙,惱,夒,撓,蟯,碙,嶩,碯,鐃,獿
ne	呢,讷,哪,呐,吶,訥,眲
nei	内,馁,哪,那,內,餒,氝,腇
nen	嫩,恁,堧
neng	能,螚
ng	嗯,唔
ni	你,尼,泥,逆,拟,腻,倪,霓,匿,妮,溺,昵,睨,旎,怩,猊,鲵,伲,呢,铌,坭,麑,薿,鿭,𨺙,𫐐,𫠜,妳,袮,児,嬭,膩,擬,灄,齯,貎,隬,暱,迡,嫟,苨,柅,晲,惄,檷,縌,誽,婗,馜,抳,郳,鯢,狔,蜺,眤,鈮,跜,堄,秜,觬,臡,屔,濔,籾,淣
nian	年,念,黏,拈,捻,碾,撵,蔫,廿,辇,鲇,鲶,埝,粘,唸,卄,辗,姩,撚,哖,鮎,蹍,輦,跈,鯰,攆,簐,秊,躎
niang	娘,酿,嬢,孃,釀,醸
niao	鸟,尿,袅,茑,脲,溺,嬲,鳥,褭,蔦,嫋,裊,嬝,樢
nie	捏,聂,孽,涅,蹑,嗫,啮,镍,臬,镊,蘖,颞,糵,陧,乜,嵲,苶,㖏,菍,𫔶,鑷,鎳,摰,聶,摄,敜,讘,囓,嚙,齧,躡,櫱,臲,巕,峊,踂,孼,蠥,糱,隉,踙,踗,篞,鑈,嶭,闑,顳
nin	您,拰
ning	宁,凝,狞,拧,柠,咛,泞,佞,甯,苧,聍,寧,寗,侫,儜,擰,檸,寍,嚀,聹,嬣,薴,獰,濘,鑏,鸋
niu	牛,扭,纽,妞,钮,拗,忸,狃,杻,鈕,紐,怓,炄
nong	弄,农,浓,哝,侬,脓,秾,𬪩,濃,農,儂,膿,襛,穠,噥,醲,繷,齈
nou	耨,譨,鎒,羺
nu	怒,努,奴,弩,驽,孥,傉,胬,砮,笯,帑,駑
nuan	暖,奻,渜,餪
nue	虐,疟,瘧
nuo	诺,挪,懦,喏,糯,娜,傩,搦,锘,𦰡,諾,儺,梛,懧,糑,袲,逽,橠
nv	女,钕,恧,衄,籹,釹,朒,衂,聏
nve	虐,疟
o	哦,噢,喔,嚄,筽
ou	欧,偶,呕,殴,鸥,藕,区,怄,瓯,讴,沤,耦,𬉼,𫪘,𠙶,𫭟,鏂,歐,藲,櫙,嘔,毆,蕅,鷗,鴎,甌,漚,熰,吘,慪,腢
pa	怕,爬,帕,啪,趴,扒,琶,耙,葩,杷,筢,舥,潖,𤆵,钯,掱,帊,袙,鈀,跁,汃
pai	派,排,拍,牌,徘,湃,俳,哌,簰,蒎,迫,棑,犤,鎃,箄
pan	盘,判,叛,盼,潘,攀,畔,蹒,磐,蟠,槃,爿,泮,袢,磻,襻,胖,番,丬,盤,牉,媻,幋,籓,拚,牓,鞶,跘,溿,頖,褩,詊,眅,沜,蹣,碆,縏,蒰,坢,瀊
pang	旁,胖,庞,彷,乓,螃,滂,逄,雱,磅,耪,鳑,膀,嗙,尨,龐,汸,徬,夆,舽
pao	跑,炮,泡,抛,袍,咆,刨,庖,狍,疱,匏,脬,拋,脟,褜,炰,嚗,砲,瓟,萢,麃,鉋,垉,袌,鞄,皰,奅,蚫,麭,穮,颮
pei	陪,配,佩,培,赔,裴,沛,呸,胚,帔,辔,霈,旆,醅,珮,锫,衃,姵,伂,賠,俖,浿,轡,蓜,柸,茷,琣,裵,陫,毰,怌
pen	喷,盆,湓,噴,衯,呠,歕,翉,葐,翸
peng	碰,朋,鹏,捧,砰,蓬,篷,彭,棚,膨,澎,怦,嘭,烹,抨,芃,硼,蟛,堋,椪,弸,淜,搒,踫,鵬,傰,剻,磞,摓,絣,輣,錋,熢,漰,韸,匉,痭,鬅,軯,篣,髼,憉,恲,閛,鑝,掽,駍,樥,皏
pi	皮,批,屁,疲,匹,劈,披,脾,啤,辟,僻,霹,痞,譬,噼,琵,癖,媲,丕,毗,坯,纰,裨,睥,邳,砒,陂,貔,枇,罴,圮,铍,鼙,蚍,郫,仳,伾,蜱,埤,嚭,鲏,陴,淠,甓,䴙,狉,澼,椑,否,芘,苉,𬳵,崥,鈹,庀,伓,笓,毘,紕,疋,闢,毞,鎞,諀,羆,鈚,憵,蚾,阰,鴄,膍,錍,蚽,岯,鈲,粃,駓,猈,稫,箆,豼,秠,鵧,揊,礔,銔,蠯,鷿,螷,髬,魾,銢
pian	片,偏,骗,篇,翩,便,骈,蹁,谝,胼,犏,楩,扁,㛹,𡎚,騙,楄,諞,諚,緶,璸,媥,跰,猵,駢,貵,骿,騈,鶣
piao	飘,漂,票,瞟,嫖,瓢,缥,剽,骠,朴,殍,嘌,螵,薸,蔈,莩,飄,謤,僄,飃,縹,髟,慓,顠,彯,翲,魒,醥,皫,驫,篻,犥,旚
pie	撇,瞥,苤,氕,𬭯,丿,嫳,潎,暼,覕
pin	品,拼,贫,频,聘,嫔,颦,姘,牝,玭,𬞟,榀,拚,嬪,蘋,頻,貧,嚬,矉,顰,砏,驞,礗
ping	平,凭,评,瓶,屏,萍,苹,坪,乒,娉,枰,鲆,俜,泙,洴,帡,荓,冯,涄,玶,蚲,呯,憑,評,倗,甁,屛,岼,砯,蓱,頩,軿,鉼,淜,輧,鮃,缾,蛢,甹,郱,艵,塀,竮
po	破,婆,迫,颇,坡,魄,泼,泊,珀,叵,鄱,粕,笸,皤,钋,钷,朴,桲,酦,陂,䥽,繁,泺,巿,攴,頗,搫,潑,櫇,昢,哱,尃,髆,謈,岥,醱,濼,溌,蒪,翍,岶,猼,馞,釙,鏺,烞
pou	剖,抔,裒,掊,婄,棓,垺,襃,捊
pu	普,扑,铺,朴,仆,谱,葡,菩,噗,浦,瀑,蒲,埔,濮,璞,圃,溥,匍,莆,堡,脯,蹼,曝,氆,潽,镤,镨,酺,蒱,墣,穙,暴,撲,譜,纀,鋪,樸,舖,僕,鐠,襆,抪,舗,鵏,鯆,痡,烳,駇,獛,鏷,瞨
qi	起,气,其,奇,期,七,器,骑,齐,弃,妻,企,启,旗,欺,岂,汽,棋,琪,泣,凄,漆,戚,契,乞,祈,麒,歧,琦,祁,绮,栖,炁,淇,崎,砌,蹊,祺,迄,杞,岐,脐,颀,沏,跂,憩,萋,嘁,耆,芑,蜞,讫,祇,鳍,亓,葺,柒,綦,蕲,畦,芪,圻,萁,骐,欹,碛,汔,锜,槭,蛴,屺,亟,玘,桤,埼,棨,郪,磜,愭,鲯,俟,碶,婍,荠,䓫,洓,稽,缉,𨙸,𬨂,氣,齊,掑,忔,旂,碁,啟,棄,騎,気,蟿,綺,豈,湇,攲,済,啓,倛,悽,騏,斉,棲,唭,騹,碕,湆,娸,鬐,噐,淒,憇,敧,迉,訖,僛,懠,鰭,盵,臍,棊,禨,慽,蚚,璂,觭,諆,竒,芞,愒,蚑,毄,扢,呇,慼,鏚,鼜,躩,榿,鬿,鄿,藄,纃,褄,疧,栔,朞,緕,桼,肵,咠,鬾,肐,磎,魌,捿,蟣,緀,焏,邔,岓,鯕,籏,濝,釮,磧,隑,軝,踑,魕,玂,頎,罊,鵸,稘,蠐,鶀,霋,甈,艩,麡,鶈
qia	卡,恰,掐,洽,髂,袷,拤,葜,冾,帢,鞐,鮚,愘,硈,殎,酠
qian	前,钱,千,潜,牵,倩,浅,签,歉,欠,乾,谦,迁,遣,茜,芊,嵌,虔,铅,谴,钳,黔,堑,骞,佥,仟,缱,纤,阡,钎,钤,掮,芡,荨,扦,愆,悭,搴,慊,褰,汧,肷,蒨,靬,椠,杄,鹐,岍,犍,磏,伣,圲,墘,𬘬,錢,灊,簽,箝,遷,牽,嗛,淺,謙,仱,潛,箞,鉛,銭,槧,傔,刋,揵,鉗,僉,拑,奷,籤,輤,挳,騫,鈐,唊,棈,檶,鰜,媊,縴,譴,歁,櫏,葥,繾,岒,韆,鑯,軡,朁,揃,塹,欿,濳,篏,婜,蕁,騝,篟,顅,雃,馯,籖,竏,鐱,騚,鑓,黚,粁,攓,蜸,鶼,鰬,攐,榩
qiang	强,枪,墙,抢,腔,呛,跄,蔷,锵,羌,戕,戗,襁,嫱,樯,镪,炝,羟,蜣,玱,锖,蔃,強,搶,唴,牆,槍,嶈,彊,嗆,墻,繈,牄,鎗,矼,瑲,墏,繦,嬙,漒,鏹,鏘,斨,檣,薔,鶬,謒,戧,羥,蹌,蹡,艢,羻,椌,錆,熗,蘠
qiao	巧,悄,瞧,敲,桥,乔,俏,翘,窍,鞘,憔,峭,跷,侨,樵,撬,锹,壳,谯,橇,诮,荞,峤,愀,劁,硗,鞒,硚,缲,雀,橋,喬,殼,翹,蟜,墝,噭,礉,墽,僑,繑,譙,磽,蹻,燋,潐,竅,趫,蹺,帩,荍,誚,摮,蕎,磝,鍬,犞,譑,嫶,嶠,嘺,鄡,礄,躈,釥,幧,趬,髜,頝,踍,郻
qie	且,切,窃,怯,妾,茄,惬,趄,锲,伽,挈,箧,慊,郄,緁,鍥,鐑,竊,洯,厒,倢,椄,朅,篋,癿,疌,踥,蛣,蛪,愜,藒,鯜
qin	亲,秦,琴,侵,勤,寝,擒,钦,芹,沁,禽,覃,噙,衾,揿,芩,溱,吣,嗪,锓,檎,骎,慬,梣,嵚,螓,廑,矜,親,笉,撳,寢,寑,瘽,儭,欽,靲,懃,墐,忴,駸,瀙,頜,蘄,唚,庈,昑,扲,梫,嶔,菳,櫬,澿,藽,斳,顉,埁,耹,鋟,蚙,埐,螼,鈙,菣,鳹,嶜,坅,肣,雂
qing	请,轻,清,青,情,庆,晴,倾,卿,擎,顷,蜻,箐,氢,罄,磬,亲,綮,氰,黥,檠,鲭,苘,圊,碃,庼,勍,䞍,倩,請,漀,輕,氫,慶,傾,謦,凊,靑,淸,頃,鑋,靘,渹,掅,樈,郬,廎,硜,葝,擏
qiong	穷,琼,穹,茕,邛,筇,蛩,銎,䓖,窮,跫,瓊,煢,藭,璚,舼,蛬,惸,憌,藑,瞏,橩,笻,桏,赹
qiu	求,球,秋,丘,邱,囚,裘,酋,仇,虬,糗,鳅,蚯,俅,泅,遒,逑,湫,楸,犰,萩,蝤,璆,巯,赇,鹙,鞧,鼽,訄,龟,𨱇,毬,銶,捄,絿,崷,坵,殏,莍,逎,緧,賕,鰍,虯,觩,巰,煪,鰽,朹,蟗,鞦,媝,趥,觓,恘,紌,梂,唒,釓,蛷,蠤,蝵,穐,釚,鰌,龝,鯄,盚,鶖,鮂
qu	去,取,区,趣,曲,屈,躯,驱,娶,趋,渠,觑,瞿,岖,蛐,蛆,衢,祛,黢,癯,苣,阒,龋,蕖,蘧,朐,璩,劬,磲,诎,蠼,焌,袪,氍,鸲,鼩,麹,胠,灈,戌,竘,岨,㭕,䓛,坥,𪨰,𫭟,佢,區,麴,迲,闃,嶇,佉,脥,呿,紶,趨,彡,詘,敺,驅,軀,臞,覷,鮈,跼,駆,浀,麮,趜,鐻,欋,趍,翵,鼁,螶,郥,籧,躣,匷,軥,蟝,刞,抾,匤,髷,鴝,絇,蠷,鶌,菃,鱋,葋,淭,阹,駈,齲,斪
quan	全,权,拳,圈,劝,泉,犬,券,蜷,痊,诠,荃,颧,绻,铨,筌,鬈,醛,悛,佺,畎,棬,鳈,辁,婘,瑔,𨟠,犭,權,勸,巻,圏,権,惓,牷,弮,詮,牶,烇,埢,銓,湶,踡,顴,腃,絟,汱,矔,勧,觠,綣,姾,蠸,輇,酄,椦,鐉,齤,犈,虇,縓,楾,巏,駩,韏
que	却,确,缺,雀,瘸,鹊,阙,阕,榷,卻,炔,悫,碏,埆,𬒈,皵,確,闕,闋,礐,愨,塙,殻,鵲,蒛,毃,硞,碻,礭,蚗,躤,慤,搉
qun	群,裙,逡,麇,囷,夋,羣,箘,麕,宭,峮
ran	然,染,燃,冉,髯,苒,蚺,䎃,姌,熯,呥,袡,髥,珃
rang	让,嚷,壤,攘,瓤,禳,穰,瀼,蘘,儴,讓,譲,勷,壌,懹,獽,穣,躟,爙,鬤
rao	绕,扰,饶,娆,桡,荛,繞,饒,擾,遶,橈,嬈,犪,襓,隢
re	热,惹,熱,喏
ren	人,任,认,忍,仁,刃,韧,壬,饪,仞,纫,稔,荏,妊,衽,轫,纴,讱,葚,刄,紝,亻,認,仭,姙,韌,屻,芢,腍,牣,涊,軔,栠,扨,袵,紉,綛,銋,荵,訒,靭,肕,飪,靱,鵀
reng	仍,扔,礽,陾,芿
ri	日,驲,鈤,馹
rong	容,荣,融,蓉,绒,溶,戎,榕,茸,熔,冗,嵘,镕,蝾,狨,瑢,榮,肜,栄,嫆,傇,鎔,媶,絨,毧,瀜,軵,褣,嶸,穃,爃,茙,髶,榵,峵,蠑,氄,羢,烿,駥
rou	肉,柔,揉,蹂,糅,鞣,𫐓,厹,鍒,粈,禸,葇,宍,煣,媃,輮,蝚,楺,騥,鰇,髳,鶔,莥,韖
ru	如,入,辱,乳,儒,茹,汝,蠕,孺,褥,嚅,濡,缛,襦,溽,蓐,洳,薷,铷,颥,嬬,侞,嗕,曘,媷,込,銣,筎,帤,袽,擩,挐,鄏,獳,蕠,縟,醹,鴽,杁,蒘,鳰
rua	挼
ruan	软,阮,堧,瓀,朊,媆,軟,檽,耎,緛,壖,蝡,燸,礝
rui	瑞,锐,蕊,睿,芮,蚋,蕤,枘,汭,緌,叡,銳,兊,桵,蕋,橤,蘂,繠
run	润,闰,潤,閏,閠,橍
ruo	若,弱,偌,箬,婼,爇,蒻,鄀,挼,渃,篛,楉,撋,鶸,鰯,嵶
sa	撒,洒,飒,仨,萨,卅,靸,挲,潵,脎,薩,灑,摋,颯,馺,攃,隡
sai	赛,塞,腮,噻,鳃,賽,僿,毢,揌,顋
san	三,散,伞,叁,馓,毵,糁,彡,氵,傘,繖,帴,鬖,鏒,毿,糂,糝,閐
sang	丧,桑,嗓,搡,颡,磉,喪,褬,顙,鎟,桒
sao	扫,骚,嫂,搔,臊,瘙,缫,埽,溞,缲,掃,騷,鳋,懆,矂,騒,髞,掻,鐰,鄵,慅,氉,鱢
se	色,瑟,涩,塞,啬,穑,铯,璱,拺,濇,澀,銫,渋,粣,鉍,譅,嗇,澁,穡,濏,栜,廧,鏼,轖,飋
sen	森
seng	僧,鬙
sha	啥,傻,杀,刹,莎,煞,纱,沙,厦,霎,砂,鲨,裟,铩,嗄,歃,痧,唼,挲,杉,殺,唦,猀,濈,紗,剎,箑,鯊,乷,繌,翣,喢,硰,菨,萐,蔱,翜,樧
shai	晒,筛,色,酾,曬,簁,篩,攦,閷,繺,骰
shan	山,删,闪,善,扇,衫,珊,擅,姗,讪,杉,陕,煽,膳,跚,潸,缮,汕,禅,膻,赡,鳝,舢,苫,嬗,鄯,骟,蟮,墡,剡,疝,芟,钐,埏,晱,嶦,烻,单,掸,栅,𫮃,搧,睒,閃,刪,樿,彡,墠,鐥,笘,僤,敾,纔,単,繕,掞,煔,姍,羶,柵,剼,陝,贍,攙,猭,痁,穇,赸,襂,譱,訕,鱔,灗,閊,圸,蔪,謆,杣,騸,髟,饍,覢,狦
shang	上,伤,商,尚,赏,晌,裳,殇,熵,觞,墒,绱,垧,汤,傷,賞,仩,尙,殤,塲,慯,觴,謪,蠰,鬺,螪,蔏,恦
shao	少,烧,稍,绍,哨,邵,勺,梢,韶,劭,捎,芍,苕,艄,筲,潲,蛸,睄,召,杓,柖,玿,鞘,燒,紹,卲,焼,弰,旓,髾,輎,蕱,袑,鮹
she	射,设,舍,蛇,舌,涉,摄,社,奢,慑,赦,折,佘,麝,赊,畲,猞,歙,阇,滠,厍,拾,𪨶,畬,攝,設,闍,厙,捨,涻,揲,蠂,舎,渉,賒,懾,韘,蔎,檨,輋,挕,慴,騇
shei	谁
shen	神,深,身,甚,什,伸,沈,审,申,慎,呻,渗,婶,绅,肾,参,莘,珅,蜃,哂,谌,娠,燊,瘆,椹,葚,砷,糁,棽,诜,甡,谂,侁,矧,胂,瞫,鲹,屾,𬬹,𬳽,柛,諗,鰰,審,兟,腎,脤,榊,妽,蔘,幓,嫀,伔,渖,嬸,淰,綝,棯,侺,槮,滲,堔,訷,紳,瀋,鯓,愼,抌,詵,葠,氠,讅,駪,罧,眒,邥,覾,鰺,峷,曋,祳,鯵,鋠,籸
sheng	生,声,圣,胜,升,省,剩,盛,绳,牲,笙,晟,甥,昇,乘,嵊,眚,陞,渑,聖,聲,勝,枡,泩,偗,剰,繩,湦,賸,渻,憴,鉎,乗,貹,呏,焺,譝,澠,橳,鼪,曻,鵿
shi	是,时,事,实,十,师,使,屎,世,始,失,士,湿,石,识,视,势,市,室,式,示,试,史,食,施,适,释,诗,尸,氏,侍,拾,饰,誓,驶,逝,狮,匙,噬,仕,矢,拭,嗜,似,蚀,恃,柿,弑,轼,虱,谥,舐,媞,什,豕,莳,筮,蓍,螫,炻,鲥,奭,湜,埘,酾,铈,祏,栻,贳,𫚕,䴓,鲺,鼫,邿,鸤,嘘,殖,辻,䏡,峙,浉,襫,𬤊,時,礻,丗,饣,詩,師,實,飾,試,視,適,識,釋,寔,褷,忕,実,勢,屍,濕,諟,溡,弒,崼,塒,蝕,駛,獅,諡,簭,咶,溼,遰,鍉,蒔,飭,湤,釈,恀,榯,蝨,鉽,澨,鰣,笶,忯,鰤,葹,鈰,觢,鼭,絁,枾,貰,遾,釃,鮖,鎩,篒,溮,軾,鳲,榁,竍,襹,餝,鶳,揓,烒
shou	手,受,收,首,守,熟,兽,授,瘦,售,寿,狩,绶,艏,収,扌,痩,壽,獸,綬,獣
shu	书,数,术,树,属,熟,叔,束,舒,输,述,殊,鼠,疏,淑,竖,署,墅,梳,蜀,恕,倏,暑,庶,漱,赎,姝,枢,蔬,薯,曙,抒,孰,戍,塾,纾,澍,黍,沭,秫,殳,菽,腧,毹,摅,隃,婌,鄃,陎,𬬸,俞,書,數,氀,樹,丨,屬,輸,沐,術,紓,鼡,疋,豎,潻,綀,樞,朮,贖,糬,疎,鉥,杸,橾,癙,璹,竪,襡,軗,鏣,攄,虪,踈,襩,裋,怷,跾,焂,鮛,鵨,鶐
shua	刷,耍,唰
shuai	帅,摔,甩,衰,率,蟀,帥
shuan	栓,拴,涮,闩,腨,閂
shuang	双,爽,霜,孀,鹴,骦,泷,礵,漴,雙,滝,塽,孇,樉,驦,漺,慡,艭,灀,縔,鷞
shui	水,谁,睡,税,帨,说,誰,氵,稅,涗,脽,閖,裞
shun	顺,瞬,吮,舜,楯,巛,順,蕣,橓,輴,瞚,鬊
shuo	说,烁,硕,朔,铄,槊,搠,妁,蒴,数,說,碩,爍,鎙
si	死,四,思,似,斯,司,丝,私,寺,撕,肆,嘶,厮,伺,祀,嗣,饲,俟,巳,泗,咝,姒,汜,驷,鸶,兕,涘,缌,蛳,澌,锶,笥,耜,飔,凘,虒,亖,㟃,偲,楒,漦,食,厶,纟,絲,俬,価,洍,儩,颸,廝,飼,柶,竢,駟,泀,鼶,緦,媤,貄,蕬,蟴,梩,禠,覗,蕼,鉰,肂,禗,榹,罳,螄,鷥
song	送,松,宋,耸,诵,怂,𪨊,颂,嵩,悚,讼,忪,淞,崧,竦,凇,菘,娀,㧐,誦,鎹,鬆,頌,愯,訟,聳,傱,倯,枩,濍,鍶,漎,硹,慫,駷,棇,憁,蘴,蜙,嵷
sou	搜,艘,嗽,嗖,叟,飕,擞,馊,薮,溲,嗾,锼,廋,瞍,蒐,螋,捜,醙,藪,籔,櫢,擻,餿,欶,鄋,獀,鎪,颾,颼,騪
su	诉,速,苏,素,宿,俗,肃,塑,酥,簌,粟,稣,溯,愫,夙,谡,窣,蔌,涑,嗉,僳,觫,骕,甦,鹔,𫗧,傃,蹜,缩,蘇,愬,訴,肅,粛,棴,憟,摵,嫊,遡,餗,樕,縤,囌,穌,鋉,驌,玊,膆,洬,謖,泝,蘓,櫯,鷫,藗,榡,鱐
suan	算,酸,蒜,狻,匴,筭,痠
sui	虽,随,岁,碎,遂,隋,髓,祟,穗,邃,隧,绥,燧,尿,睢,眭,荽,谇,濉,穟,璲,襚,旞,𫟦,𬭼,夊,雖,隨,歲,鐩,挼,穂,鏸,誶,綏,歳,脺,繐,倠,繀,砕,粋,賥,瀡,埣,髄,縗,娞,浽,禭,陏,荾,滖,繸,哸,檖,毸,鐆
sun	孙,损,笋,隼,荪,狲,榫,飧,孫,損,筍,蓀,潠,喰,蕵,鎨,搎,猻,槂,薞
suo	所,索,缩,锁,梭,琐,嗍,唆,娑,嗦,蓑,桫,唢,睃,挲,葰,羧,溹,莎,鎖,惢,傞,縮,鮻,嗩,摍,瑣,鎍,靃,簑,趖,魦,縒,鎈,莏,逤,簔
ta	他,她,它,塔,踏,拓,塌,榻,蹋,沓,遢,挞,趿,獭,祂,闼,鳎,铊,溻,牠,阘,褟,鞳,嗒,鿎,漯,遝,撻,咜,撘,荅,逹,搨,鉈,誻,嚃,禢,濌,闥,獺,鰨,澾,鞈,涾,毾,榙,鎉,鞜,闒,錔
tai	太,台,态,抬,泰,胎,汰,苔,跆,钛,薹,肽,酞,邰,炱,骀,鲐,呔,臺,態,檯,儓,鈦,擡,咍,鈶,颱,斄,溙,嬯,坮,燤,箈,籉,鮐
tan	谈,叹,弹,探,坦,贪,坛,摊,滩,谭,潭,瘫,毯,炭,忐,檀,痰,碳,袒,昙,坍,覃,郯,镡,钽,倓,锬,璮,惔,菼,澹,啴,宕,榃,磹,談,湠,彈,傝,貪,弾,攤,嘆,譚,壇,潬,憳,怹,歎,醓,僋,灘,癱,曇,儃,壜,癉,醰,罈,譠,撣,埮,嘾,餤,嗿,繵,藫,賧,貚,裧,黮,憛,鉭,舕,顃,婒,暺,罎
tang	躺,汤,糖,趟,烫,堂,唐,膛,倘,淌,棠,塘,搪,螳,傥,瑭,镗,帑,樘,蹚,嘡,溏,螗,羰,镋,耥,埫,铴,䣘,鄌,𬍡,惝,湯,欓,醣,燙,鎲,爣,儻,钂,蝪,煻,摥,踼,鏜,簜,榶,愓,鎕,赯,漟,蘯,矘,漡,逿,攩,橖,戃,嵣,蓎,磄,閶,闛,鐋,薚,鶶,曭,闣,鼞
tao	套,逃,讨,桃,涛,掏,陶,滔,萄,淘,韬,焘,啕,饕,绦,叨,洮,梼,绹,弢,鼗,慆,𫘦,夲,丶,討,祹,濤,綯,匋,韜,嫍,檮,迯,搯,幍,槄,絛,燾,騊,醄,縚,鋾,鞀,駣,蜪,錭
te	特,忑,慝,铽,忒,貣,蟘,鋱
tei	忒
teng	疼,腾,藤,滕,誊,螣,縢,䲢,熥,痋,騰,籐,謄,籘,邆,霯
ti	提,题,体,替,踢,梯,蹄,惕,涕,啼,剔,屉,剃,嚏,倜,缇,逖,荑,醍,悌,媞,鹈,绨,锑,裼,趯,遆,䴘,薙,鳀,擿,䏲,瑅,𫘨,俶,鍗,體,題,扌,厗,崹,偍,洟,褆,殢,軆,稊,渧,惿,躰,詆,緹,徥,珶,悐,啑,綈,迖,籊,鯷,騠,鶗,徲,趧,姼,蝭,楴,揥,戻,嵜,鶙,屜,鵜,鷤,鬄,瓋,磃,謕,蕛,褅,銻,鷈
tian	天,田,甜,添,填,舔,恬,腆,阗,殄,忝,湉,畋,觍,瑱,掭,盷,沺,黇,淟,畑,鿬,佃,晪,钿,倎,畠,搷,屇,悿,甛,緂,舑,婖,菾,琠,窴,鈿,酟,闐,碵,賟,餂,鴫,捵,磌,痶,顚,靦,鷆,睼,鷏
tiao	条,调,跳,挑,眺,迢,窕,佻,笤,祧,髫,粜,龆,蜩,鲦,朓,苕,嬥,條,調,庣,儵,脁,宨,岧,誂,蓨,糶,鞗,鯈,覜,蓚,咷,絩,趒,鰷,鎥,朷,芀,窱,祒,齠
tie	铁,贴,帖,餮,萜,貼,鐵,鐡,僣,呫,鋨,怗,鉆,揲,惵,鴩,蛈,驖
ting	听,停,厅,挺,庭,廷,婷,亭,艇,霆,汀,蜓,铤,葶,莛,珽,梃,烃,𬘩,渟,颋,桯,圢,侹,䗴,烶,町,聽,閮,脡,廳,綎,聴,庁,筳,諪,廰,珵,聤,娗,艼,榳,烴,濎,楟,頲,鋌,嵉,蝏,鼮
tong	同,通,痛,统,童,铜,筒,桶,捅,瞳,桐,佟,彤,恸,潼,嗵,僮,酮,仝,茼,曈,砼,烔,垌,橦,穜,哃,鲖,洞,樋,㛚,侗,峂,峒,𦒍,𫍣,恫,偅,統,炵,銅,粡,囲,浵,痌,湩,朣,詷,慟,爞,絧,犝,衕,膧,氃,鮦,狪,鉖,蓪,餇
tou	头,投,偷,透,骰,钭,頭,偸,妵,鍮,蘣,黈,敨,紏,斢,埱
tu	突,图,土,徒,吐,途,涂,屠,兔,秃,凸,荼,菟,钍,堍,酴,稌,凃,腯,葖,㻬,梌,𬳿,圖,鍎,塗,図,兎,湥,瑹,莵,禿,捈,瘏,鋀,蒤,唋,汢,跿,廜,捸,駼,嵞,涋,峹,鵚,筡,嶀,鼵,鵌,鷵,鶟,釷,鵵,鷋
tuan	团,湍,抟,彖,疃,猯,煓,鏄,團,団,槫,褖,慱,墥,糰,貒,鷒,鷻
tui	推,退,腿,颓,褪,忒,蜕,煺,魋,𬯎,俀,騩,頹,蓷,穨,隤,僓,弚,頽,藬,橔,怢,蹪,駾
tun	吞,屯,臀,豚,囤,饨,暾,鲀,坉,焞,忳,褪,氽,呑,魨,庉,畽,軘,蜳,芚,錪,飩
tuo	拖,脱,托,妥,拓,陀,驼,唾,驮,佗,椭,坨,沱,砣,鸵,跎,柁,酡,橐,柝,侂,鼍,庹,铊,箨,圫,𬶍,萚,乇,脫,魄,蟺,馱,託,鮀,侻,駝,飥,駄,騨,嘽,嫷,紽,跅,橢,楕,莌,驒,鼉,鴕,沰,毤,袉,碢,籜,岮,毻,魠,堶
wa	哇,瓦,娃,挖,袜,蛙,娲,洼,佤,窊,腽,坬,凹,畖,唲,襪,漥,窪,嗢,窐,媧,韎,韈,瓲,膃,溛
wai	外,歪,崴,喎,咼,瀤
wan	完,万,晚,玩,弯,碗,湾,婉,挽,腕,宛,顽,丸,卍,惋,莞,蜿,琬,纨,婠,皖,绾,剜,菀,豌,畹,烷,脘,芄,椀,塆,𬇕,妧,蔓,夘,萬,鍐,晼,笂,潫,彎,灣,晩,掔,綄,関,頑,倇,鄤,汍,翫,琓,槾,刓,澫,綰,紈,薍,捥,輓,綩,岏,杤,鋄,睕,忨,抏,捖
wang	王,望,往,忘,网,亡,汪,妄,旺,枉,惘,罔,魍,尢,辋,尪,網,暀,莣,徃,仼,朢,迋,盳,抂,菵,輞,瀇
wei	为,位,微,未,围,卫,威,味,维,危,委,胃,伟,谓,唯,慰,尾,喂,魏,薇,惟,违,韦,畏,伪,尉,巍,蔚,偎,萎,苇,炜,玮,猥,娓,帷,纬,渭,桅,嵬,猬,隗,葳,痿,闱,煨,诿,韪,逶,帏,圩,潍,溦,鲔,艉,隈,洧,沩,廆,霨,涠,亹,碨,薳,鳚,𬶏,鳂,煟,硙,琟,崴,峗,洈,螱,遗,𣲗,𫇭,𬀩,𬭬,𬱟,為,爲,囗,鍏,謂,偉,闈,寪,圍,維,衛,暐,鍡,偽,浘,噲,濊,韋,緯,幃,瑋,梶,違,餵,菋,韡,僞,崣,儰,葦,撱,蒍,煒,鮠,頠,湋,壝,痏,軎,蓶,溈,瞶,蝟,諉,衞,濰,趡,蘶,鮇,癓,蔿,徫,鮪,餧,霺,藯,媦,縅,喡,芛,磑,椲,犚,詴,鄬,鏏,讆,踓,蜼,峞,渨,蜲,蝛,磈,愄,覹,覣,褽,躗,潿,巋,犩,癐,瀢,椳,骫,罻,韙,鰄,濻,烓,斖,揋,瓗,隇,饖,腲,葨
